chasingAgents,pullingAgents,action,prior,state,nextState,policyLikelihood,transitionLikelihood,posterior,marginalizedPosterior,normalizedPosterior
"('wolf', 'sheep', 'master')","('noPull', 'pulled', 'pulled')","((-1, 0), (-1, 0), (-1, 0))",0.0,"[(10, 5), (9, 7), (10, 3)]","[(9, 4), (10, 7), (10, 4)]",0.050625,0.0,0.0,0.0,0.0
"('wolf', 'sheep', 'master')","('noPull', 'pulled', 'pulled')","((-1, 0), (-1, 0), (1, 0))",0.0,"[(10, 5), (9, 7), (10, 3)]","[(9, 4), (10, 7), (10, 4)]",0.050625,0.0,0.0,0.0,0.0
"('wolf', 'sheep', 'master')","('noPull', 'pulled', 'pulled')","((-1, 0), (-1, 0), (0, 1))",0.0,"[(10, 5), (9, 7), (10, 3)]","[(9, 4), (10, 7), (10, 4)]",0.050625,0.0,0.0,0.0,0.0
"('wolf', 'sheep', 'master')","('noPull', 'pulled', 'pulled')","((-1, 0), (-1, 0), (0, -1))",0.0,"[(10, 5), (9, 7), (10, 3)]","[(9, 4), (10, 7), (10, 4)]",0.050625,0.0,0.0,0.0,0.0
"('wolf', 'sheep', 'master')","('noPull', 'pulled', 'pulled')","((-1, 0), (1, 0), (-1, 0))",0.0,"[(10, 5), (9, 7), (10, 3)]","[(9, 4), (10, 7), (10, 4)]",0.005624999999999999,0.0,0.0,0.0,0.0
"('wolf', 'sheep', 'master')","('noPull', 'pulled', 'pulled')","((-1, 0), (1, 0), (1, 0))",0.0,"[(10, 5), (9, 7), (10, 3)]","[(9, 4), (10, 7), (10, 4)]",0.005624999999999999,0.0,0.0,0.0,0.0
"('wolf', 'sheep', 'master')","('noPull', 'pulled', 'pulled')","((-1, 0), (1, 0), (0, 1))",0.0,"[(10, 5), (9, 7), (10, 3)]","[(9, 4), (10, 7), (10, 4)]",0.005624999999999999,0.0,0.0,0.0,0.0
"('wolf', 'sheep', 'master')","('noPull', 'pulled', 'pulled')","((-1, 0), (1, 0), (0, -1))",0.0,"[(10, 5), (9, 7), (10, 3)]","[(9, 4), (10, 7), (10, 4)]",0.005624999999999999,0.0,0.0,0.0,0.0
"('wolf', 'sheep', 'master')","('noPull', 'pulled', 'pulled')","((-1, 0), (0, 1), (-1, 0))",0.0,"[(10, 5), (9, 7), (10, 3)]","[(9, 4), (10, 7), (10, 4)]",0.050625,0.0,0.0,0.0,0.0
"('wolf', 'sheep', 'master')","('noPull', 'pulled', 'pulled')","((-1, 0), (0, 1), (1, 0))",0.0,"[(10, 5), (9, 7), (10, 3)]","[(9, 4), (10, 7), (10, 4)]",0.050625,0.0,0.0,0.0,0.0
"('wolf', 'sheep', 'master')","('noPull', 'pulled', 'pulled')","((-1, 0), (0, 1), (0, 1))",0.0,"[(10, 5), (9, 7), (10, 3)]","[(9, 4), (10, 7), (10, 4)]",0.050625,0.0,0.0,0.0,0.0
"('wolf', 'sheep', 'master')","('noPull', 'pulled', 'pulled')","((-1, 0), (0, 1), (0, -1))",0.0,"[(10, 5), (9, 7), (10, 3)]","[(9, 4), (10, 7), (10, 4)]",0.050625,0.0,0.0,0.0,0.0
"('wolf', 'sheep', 'master')","('noPull', 'pulled', 'pulled')","((-1, 0), (0, -1), (-1, 0))",0.0,"[(10, 5), (9, 7), (10, 3)]","[(9, 4), (10, 7), (10, 4)]",0.005624999999999999,0.0,0.0,0.0,0.0
"('wolf', 'sheep', 'master')","('noPull', 'pulled', 'pulled')","((-1, 0), (0, -1), (1, 0))",0.0,"[(10, 5), (9, 7), (10, 3)]","[(9, 4), (10, 7), (10, 4)]",0.005624999999999999,0.0,0.0,0.0,0.0
"('wolf', 'sheep', 'master')","('noPull', 'pulled', 'pulled')","((-1, 0), (0, -1), (0, 1))",0.0,"[(10, 5), (9, 7), (10, 3)]","[(9, 4), (10, 7), (10, 4)]",0.005624999999999999,0.0,0.0,0.0,0.0
"('wolf', 'sheep', 'master')","('noPull', 'pulled', 'pulled')","((-1, 0), (0, -1), (0, -1))",0.0,"[(10, 5), (9, 7), (10, 3)]","[(9, 4), (10, 7), (10, 4)]",0.005624999999999999,0.0,0.0,0.0,0.0
